-0.29,-0.16,-0.16,-0.12,0.09,-0.00,-0.00,-0.26,-0.35,-0.45,-0.70,-0.81,-0.84,-0.84,-0.79,-0.79,-0.83,-0.98,-1.03,-1.14,-1.19,-1.28,-1.32,-1.41,-1.46,-1.48,-1.38,-1.29,-1.29,-1.01,-1.01,-0.85,-0.75,-0.68,-0.66,-0.47,-0.24,-0.20,-0.17,-0.14,-0.14,-0.04,-0.07,-0.07,0.02,0.10,0.18,0.39,0.41,0.39,0.39,0.38,0.38,0.38,0.38,
-0.18,-0.25,-0.25,-0.19,-0.00,-0.16,-0.16,-0.62,-1.03,-1.19,-1.48,-1.58,-1.59,-1.49,-1.26,-1.26,-1.12,-1.05,-0.99,-0.77,-0.63,-0.26,-0.17,-0.01,0.19,0.25,0.38,0.40,0.40,0.45,0.45,0.37,0.36,0.33,0.44,0.60,0.64,0.63,0.49,0.43,0.43,0.19,0.13,0.13,0.04,0.09,0.16,0.28,0.25,0.20,0.20,0.06,0.02,0.02,0.02,
1.02,0.92,0.92,0.97,1.08,0.97,0.97,0.93,0.93,0.97,1.11,1.24,1.48,1.57,1.63,1.63,1.57,1.59,1.60,1.63,1.64,1.68,1.69,1.68,1.56,1.51,1.24,1.14,1.14,1.00,1.00,0.94,0.91,0.90,0.98,0.95,0.88,0.88,0.87,0.84,0.84,0.71,0.71,0.71,0.84,0.90,0.95,1.04,1.04,1.02,1.02,0.93,0.87,0.87,0.87,
-11.23,-27.28,-27.28,-38.39,-32.04,2.20,6.77,11.90,5.80,-3.17,-14.65,-46.94,-45.35,-33.26,16.66,16.66,86.24,94.42,89.48,89.48,75.07,75.26,104.68,116.39,155.94,165.53,175.78,176.88,174.68,170.41,170.41,127.56,127.56,112.98,71.96,75.62,75.93,69.95,68.85,70.07,70.07,71.47,71.47,65.92,6.23,-10.44,-28.69,-20.08,-0.61,8.61,15.01,14.59,3.30,-6.16,-16.91,
0.31,0.06,0.06,-0.06,10.25,8.30,4.21,-4.64,-11.90,-14.34,-14.16,10.93,27.04,39.92,47.79,47.79,25.39,19.47,25.76,25.76,56.03,64.51,77.09,78.55,79.35,77.70,54.44,46.14,29.17,10.31,10.31,-36.25,-36.25,-27.47,3.66,2.69,-2.81,-5.92,-4.03,6.96,6.96,2.26,2.26,-4.52,-29.85,-31.49,-28.69,-23.68,-16.85,-12.88,-7.32,3.36,5.00,4.64,5.37,
18.55,55.73,55.73,67.63,48.95,-22.52,-39.92,-55.97,-56.03,-52.31,-43.95,29.66,73.00,117.00,186.16,186.16,222.96,245.12,261.35,261.35,332.40,356.14,418.95,430.91,472.84,485.29,505.86,503.91,493.71,475.95,475.95,388.12,388.12,372.44,302.19,287.41,233.83,158.94,127.50,84.35,84.35,46.45,46.45,40.34,62.38,69.64,58.04,43.33,9.28,-5.00,-16.78,-29.30,-29.72,-28.81,-30.46,
35.42,33.86,33.86,33.86,33.24,33.24,33.24,33.98,33.98,33.98,33.98,33.42,33.42,33.42,33.42,33.42,33.42,33.42,33.42,29.24,29.24,29.24,29.24,29.24,29.24,29.24,29.24,29.24,27.73,27.73,27.73,27.73,27.73,28.52,28.52,31.14,31.14,31.14,31.14,32.93,32.93,32.93,32.93,32.84,32.84,32.84,32.62,32.62,32.62,32.62,32.18,32.18,32.18,32.18,32.92,
19.71,10.06,10.06,10.06,8.85,8.85,8.85,8.69,8.69,8.69,8.69,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,26.87,26.87,26.87,26.87,26.87,31.21,31.21,33.86,33.86,33.86,33.86,35.57,35.57,35.57,35.57,37.39,37.39,37.39,36.25,36.25,36.25,36.25,36.55,36.55,36.55,36.55,36.79,
-53.59,-49.80,-49.80,-49.80,-49.32,-49.32,-49.32,-49.26,-49.26,-49.26,-49.26,-48.46,-48.46,-48.46,-48.46,-48.46,-48.46,-48.46,-48.46,-50.98,-50.98,-50.98,-50.98,-50.98,-50.98,-50.98,-50.98,-50.98,-52.70,-52.70,-52.70,-52.70,-52.70,-52.05,-52.05,-51.67,-51.67,-51.67,-51.67,-50.27,-50.27,-50.27,-50.27,-50.07,-50.07,-50.07,-49.38,-49.38,-49.38,-49.38,-49.33,-49.33,-49.33,-49.33,-50.15,
