-0.15,-0.15,-0.04,0.01,0.08,0.08,0.11,0.07,0.07,0.04,0.04,0.04,0.04,0.00,0.02,0.02,0.01,0.00,-0.00,-0.02,-0.02,-0.02,-0.02,-0.01,-0.00,-0.00,-0.01,-0.05,-0.05,-0.04,-0.03,-0.00,0.01,0.01,0.05,0.03,0.03,0.03,0.07,0.09,0.08,0.06,0.05,0.04,-0.00,-0.04,-0.13,-0.14,-0.13,-0.10,-0.10,-0.08,-0.08,-0.08,-0.08,-0.13,-0.29,-0.34,-0.34,-0.39,-0.36,-0.34,-0.32,-0.31,-0.31,-0.37,-0.41,-0.46,-0.51,-0.53,-0.55,-0.57,-0.59,-0.62,-0.61,-0.59,-0.58,-0.58,-0.42,-0.42,
0.07,0.07,0.18,0.24,0.34,0.34,0.25,0.14,0.14,0.05,0.02,-0.03,-0.03,-0.08,-0.10,-0.11,-0.11,-0.11,-0.13,-0.17,-0.19,-0.19,-0.18,-0.15,-0.14,-0.14,-0.15,-0.17,-0.16,-0.13,-0.07,-0.01,0.04,0.04,0.12,0.15,0.20,0.20,0.30,0.36,0.38,0.33,0.30,0.29,0.27,0.25,0.19,0.21,0.24,0.30,0.30,0.43,0.48,0.48,0.58,0.59,0.46,0.34,0.34,0.23,0.19,0.21,0.23,0.24,0.22,0.09,0.01,-0.05,-0.11,-0.16,-0.32,-0.36,-0.41,-0.46,-0.57,-0.61,-0.63,-0.63,-0.51,-0.51,
0.92,0.92,0.87,0.88,0.94,0.94,0.95,0.95,0.95,0.96,0.97,0.99,0.99,1.04,1.06,1.08,1.10,1.11,1.10,1.06,1.05,1.05,1.04,1.05,1.04,1.04,1.03,0.99,0.99,0.99,0.99,1.00,1.01,1.01,1.01,1.02,1.03,1.03,1.06,1.06,0.97,0.88,0.86,0.87,0.93,0.98,1.07,1.13,1.14,1.15,1.15,1.21,1.23,1.23,1.27,1.32,1.34,1.29,1.29,1.23,1.18,1.18,1.17,1.16,1.11,1.00,0.95,0.96,0.94,0.92,0.83,0.82,0.80,0.80,0.83,0.88,0.95,0.95,1.19,1.19,
8.91,8.91,-2.26,-29.11,-26.61,-26.61,13.85,22.83,21.67,18.01,13.49,8.79,8.79,-3.78,-5.07,-5.49,-3.78,-3.78,1.71,-1.71,-4.33,-4.33,-6.53,-7.20,0.12,0.12,4.82,5.55,3.05,-0.06,-0.06,-6.53,-6.35,0.55,9.89,11.23,-2.69,-2.69,-7.32,-8.85,-0.49,1.95,2.44,-0.61,0.06,1.65,0.73,-10.50,-16.54,-22.09,-22.09,-43.27,-47.30,-47.30,-45.10,-40.16,-21.91,-23.86,-29.60,-29.60,-47.12,-49.50,-46.33,-41.08,-21.42,-12.76,-11.17,-15.75,-20.39,-21.30,-18.68,-15.20,-10.68,-0.24,6.90,1.04,-6.10,-26.18,-28.93,-20.14,
-5.92,-5.92,2.81,13.49,9.83,9.83,-18.86,-24.96,-24.84,-24.05,-22.58,-20.14,-20.14,-19.47,-18.98,-18.55,-16.17,-16.17,-12.39,-7.39,-5.13,-5.13,-3.72,-1.53,-2.20,-2.20,-2.69,-1.89,-0.31,1.40,1.40,6.10,6.84,5.25,-0.24,-2.62,5.62,5.62,9.70,12.88,13.55,11.35,3.48,-6.41,-11.35,-14.89,-18.31,-7.02,0.31,7.32,7.32,21.55,24.17,24.17,22.71,19.47,14.16,28.02,32.35,32.35,46.94,54.08,54.57,53.53,45.29,40.10,35.52,21.18,18.25,17.46,5.19,-3.23,-11.90,-28.75,-38.02,-40.34,-37.66,-21.55,33.75,49.13,
91.49,91.49,94.73,87.34,81.36,81.36,36.19,16.91,11.84,8.61,6.90,7.20,7.20,9.70,10.19,10.68,10.25,10.25,5.00,2.38,5.43,5.43,10.07,11.96,7.14,7.14,3.97,4.21,7.45,10.38,10.38,11.35,8.61,-2.14,-13.49,-18.13,-14.59,-14.59,-15.32,-19.04,-46.02,-56.03,-72.94,-91.19,-100.65,-114.56,-118.23,-111.69,-108.95,-108.83,-108.83,-114.26,-118.77,-118.77,-130.19,-139.34,-183.84,-207.70,-211.79,-211.79,-199.65,-189.21,-190.00,-193.91,-211.67,-219.06,-218.38,-214.54,-212.34,-210.21,-199.46,-194.03,-186.58,-163.64,-131.35,-99.00,-84.47,-57.68,-18.68,-7.51,
45.95,45.95,43.20,43.20,43.20,43.20,43.20,43.20,43.20,42.10,42.10,42.10,42.10,41.88,41.88,41.88,41.37,41.37,41.37,40.63,40.63,40.63,40.63,40.70,40.70,40.70,40.70,40.80,40.80,40.80,41.48,41.48,41.48,41.60,41.60,41.60,41.76,41.76,41.76,41.76,41.72,41.72,41.72,41.72,42.10,42.10,42.10,41.83,41.83,41.83,41.83,42.02,42.02,42.02,43.40,43.40,43.40,44.18,44.18,44.18,44.64,44.64,44.64,44.64,45.81,45.81,46.07,46.07,46.07,46.07,46.07,46.07,46.07,41.56,41.56,41.56,38.81,38.81,38.81,39.66,
32.40,32.40,21.26,21.26,21.26,21.26,21.26,21.26,21.26,19.12,19.12,19.12,19.12,19.17,19.17,19.17,18.97,18.97,18.97,18.65,18.65,18.65,18.65,17.99,17.99,17.99,17.99,18.24,18.24,18.24,18.23,18.23,18.23,17.99,17.99,17.99,19.20,19.20,19.20,19.20,18.99,18.99,18.99,18.99,19.06,19.06,19.06,20.56,20.56,20.56,20.56,19.93,19.93,19.93,20.32,20.32,20.32,22.14,22.14,22.14,23.95,23.95,23.95,23.95,25.66,25.66,29.20,29.20,29.20,29.20,29.20,29.20,29.20,33.76,33.76,33.76,34.96,34.96,34.96,35.11,
-54.72,-54.72,-51.32,-51.32,-51.32,-51.32,-51.32,-51.32,-51.32,-52.09,-52.09,-52.09,-52.09,-51.62,-51.62,-51.62,-52.06,-52.06,-52.06,-52.29,-52.29,-52.29,-52.29,-51.72,-51.72,-51.72,-51.72,-51.65,-51.65,-51.65,-51.53,-51.53,-51.53,-51.56,-51.56,-51.56,-52.65,-52.65,-52.65,-52.65,-51.60,-51.60,-51.60,-51.60,-51.59,-51.59,-51.59,-52.08,-52.08,-52.08,-52.08,-50.24,-50.24,-50.24,-50.15,-50.15,-50.15,-49.33,-49.33,-49.33,-49.00,-49.00,-49.00,-49.00,-47.64,-47.64,-47.46,-47.46,-47.46,-47.46,-47.46,-47.46,-47.46,-46.31,-46.31,-46.31,-47.94,-47.94,-47.94,-47.49,
